"tenantid","status"
"od","INITIATED"
"od","APPROVED"
"od","REJECTED"
"od","APPROVED"
"od","REJECTED"
"od","INITIATED"
"od","APPROVED"
"od","PENDINGAPPROVAL"
"od","PENDINGAPPROVAL"
"od","APPROVED"
"od","INITIATED"
"od","APPROVED"
"od","APPROVED"
"od","INITIATED"
"od","APPROVED"
"od","INITIATED"
"od","INITIATED"
"od","REJECTED"
"od","APPROVED"
"od","APPROVED"
"od","REJECTED"
"od","APPROVED"
"od","REJECTED"
"od","REJECTED"
"od","INITIATED"
"od","INITIATED"
"od","INITIATED"
"od","APPROVED"
"od","APPROVED"
"od","APPROVED"
"od","REJECTED"
"od","REJECTED"
"od","REJECTED"
"od","REJECTED"
"od","REJECTED"
"od","APPROVED"
"od","REJECTED"
"od","APPROVED"
"od","REJECTED"
"od","REJECTED"
"od","REJECTED"
"od","REJECTED"
"od","REJECTED"
"od","INITIATED"
"od","REJECTED"
"od","PENDINGAPPROVAL"
"od","INITIATED"
"od","INITIATED"
"od","APPROVED"
"od","PENDINGAPPROVAL"
"od","PENDINGAPPROVAL"
"od","APPROVED"
"od","REJECTED"
"od","APPROVED"
"od","PENDINGAPPROVAL"
"od","PENDINGAPPROVAL"
"od","PENDINGAPPROVAL"
"od","APPROVED"
"od","INITIATED"
"od","INITIATED"
"od","PENDINGAPPROVAL"
"od","APPROVED"
"od","INITIATED"
"od","INITIATED"
"od","REJECTED"
"od","INITIATED"
"od","INITIATED"
"od","PENDINGAPPROVAL"
"od","APPROVED"
"od","REJECTED"
"od","APPROVED"
"od","INITIATED"
"od","PENDINGAPPROVAL"
"od","INITIATED"
"od","INITIATED"
"od","PENDINGAPPROVAL"
"od","APPROVED"
"od","REJECTED"
"od","APPROVED"
"od","PENDINGAPPROVAL"
"od","INITIATED"
"od","APPROVED"
"od","APPROVED"
"od","REJECTED"
"od","INITIATED"
"od","APPROVED"
"od","INITIATED"
"od","APPROVED"
"od","APPROVED"
"od","INITIATED"
"od","INITIATED"
"od","APPROVED"
"od","REJECTED"
"od","INITIATED"
"od","PENDINGAPPROVAL"
"od","REJECTED"
"od","REJECTED"
"od","INITIATED"
"od","REJECTED"
"od","REJECTED"
"od","REJECTED"
"od","REJECTED"
"od","REJECTED"
"od","REJECTED"
"od","APPROVED"
"od","APPROVED"
"od","REJECTED"
"od","INITIATED"
"od","INITIATED"
"od","APPROVED"
"od","INITIATED"
"od","INITIATED"
"od","REJECTED"
"od","INITIATED"
"od","INITIATED"
"od","REJECTED"
"od","APPROVED"
"od","INITIATED"
"od","APPROVED"
"od","INITIATED"
"od","INITIATED"
"od","APPROVED"
"od","APPROVED"
"od","PENDINGAPPROVAL"
"od","PENDINGAPPROVAL"
"od","INITIATED"
"od","INITIATED"
"od","INITIATED"
"od","INITIATED"
"od","INITIATED"
"od","INITIATED"
"od","INITIATED"
"od","INITIATED"
"od","INITIATED"
"od","INITIATED"
"od","INITIATED"
"od","APPROVED"
"od","REJECTED"
"od","INITIATED"
"od","INITIATED"
"od","APPROVED"
"od","PENDINGAPPROVAL"
"od","INITIATED"
"od","PENDINGAPPROVAL"
"od","INITIATED"
"od","INITIATED"
"od","INITIATED"
"od","PENDINGAPPROVAL"
"od","APPROVED"
"od","APPROVED"
"od","APPROVED"
"od","APPROVED"
"od","PENDINGAPPROVAL"
"od","INITIATED"
"od","INITIATED"
"od","INITIATED"
"od","APPROVED"
"od","APPROVED"
"od","INITIATED"
"od","INITIATED"
"od","INITIATED"
"od","INITIATED"
"od","INITIATED"
"od","REJECTED"
"od","PENDINGAPPROVAL"
"od","APPROVED"
"od","INITIATED"
"od","INITIATED"
"od","INITIATED"
"od","PENDINGAPPROVAL"
"od","APPROVED"
"od","APPROVED"
"od","PENDINGAPPROVAL"
"od","INITIATED"
"od","PENDINGAPPROVAL"
"od","INITIATED"
"od","INITIATED"
"od","INITIATED"
"od","PENDINGAPPROVAL"
"od","PENDINGAPPROVAL"
"od","INITIATED"
"od","INITIATED"
"od","INITIATED"
"od","INITIATED"
"od","INITIATED"
"od","INITIATED"
"od","INITIATED"
"od","INITIATED"
"od","INITIATED"
"od","PENDINGAPPROVAL"
"od","REJECTED"
"od","PENDINGAPPROVAL"
"od","APPROVED"
"od","INITIATED"
"od","INITIATED"
"od","REJECTED"
"od","INITIATED"
"od","APPROVED"
"od","INITIATED"
"od","INITIATED"
"od","INITIATED"
"od","INITIATED"
"od","INITIATED"
"od","INITIATED"
"od","INITIATED"
"od","INITIATED"
"od","PENDINGAPPROVAL"
"od","INITIATED"
"od","PENDINGAPPROVAL"
"od","PENDINGAPPROVAL"
"od","INITIATED"
"od","INITIATED"
"od","INITIATED"
"od","INITIATED"
"od","PENDINGAPPROVAL"
"od","INITIATED"
"od","INITIATED"
"od","PENDINGAPPROVAL"
"od","INITIATED"
"od","INITIATED"
"od","INITIATED"
"od","INITIATED"
"od","PENDINGAPPROVAL"
"od","PENDINGAPPROVAL"
"od","PENDINGAPPROVAL"
"od","PENDINGAPPROVAL"
"od","INITIATED"
"od","INITIATED"
"od","INITIATED"
"od","INITIATED"
"od","INITIATED"
"od","INITIATED"
"od","INITIATED"
"od","INITIATED"
"od","PENDINGAPPROVAL"
"od","INITIATED"
"od","PENDINGAPPROVAL"
"od","INITIATED"
