"ulb","licensetype","numberofapplications"
"od.joda","PERMANENT","46"
"od.kesinga","PERMANENT","4"
"od.bhawanipatna","PERMANENT","21"
"od.cuttack","TEMPORARY","3"
"od.balasore","PERMANENT","69"
"od.kabisuryanagar","PERMANENT","5"
"od.redhakhol","PERMANENT","3"
"od.jaleswar","PERMANENT","56"
"od.balangir","PERMANENT","24"
"od.baripada","PERMANENT","85"
"od.jeypore","PERMANENT","3"
"od.khallikote","PERMANENT","11"
"od.vyasanagar","PERMANENT","13"
"od.dhenkanal","PERMANENT","55"
"od.jatni","PERMANENT","200"
"od.jagatsinghpur","PERMANENT","8"
"od.hindol","PERMANENT","2"
"od.chatrapur","PERMANENT","166"
"od.nabarangpur","PERMANENT","3"
"od.bijepur","PERMANENT","8"
"od.paradeep","PERMANENT","9"
"od.rajgangpur","PERMANENT","10"
"od.kantabanji","PERMANENT","36"
"od.rourkela","PERMANENT","521"
"od.kodala","PERMANENT","7"
"od.surada","PERMANENT","10"
"od.junagarh","PERMANENT","15"
"od.koraput","PERMANENT","22"
"od.daspalla","PERMANENT","58"
"od.brajrajnagar","PERMANENT","20"
"od.bargarh","PERMANENT","44"
"od.aska","PERMANENT","20"
"od.kamakhyanagar","PERMANENT","1"
"od.bellaguntha","PERMANENT","71"
"od.soro","PERMANENT","9"
"od.choudwar","TEMPORARY","1"
"od.rayagada","PERMANENT","37"
"od.chikiti","PERMANENT","4"
"od.karanjia","PERMANENT","4"
"od.berhampur","PERMANENT","680"
"od.khariarroad","PERMANENT","1"
"od.balimela","PERMANENT","9"
"od.gudari","PERMANENT","2"
"od.dharamgarh","PERMANENT","3"
"od.rambha","PERMANENT","8"
"od.umerkote","PERMANENT","4"
"od.kendrapara","PERMANENT","48"
"od.odagaon","PERMANENT","3"
"od.dhamnagar","PERMANENT","1"
"od.patnagarh","PERMANENT","9"
"od.bhuban","PERMANENT","5"
"od.buguda","PERMANENT","2"
"od.anandapur","PERMANENT","6"
"od.konark","PERMANENT","3"
"od.jharsuguda","PERMANENT","88"
"od.gunupur","PERMANENT","17"
"od.khandapada","PERMANENT","4"
"od.malkangiri","PERMANENT","3"
"od.athagarh","PERMANENT","2"
"od.bhanjanagar","PERMANENT","3"
"od.rairangpur","PERMANENT","20"
"od.barpali","PERMANENT","5"
"od.tusura","PERMANENT","1"
"od.phulbani","PERMANENT","7"
"od.digapahandi","PERMANENT","33"
"od.hinjilicut","PERMANENT","22"
"od.barbil","PERMANENT","4"
"od.binka","PERMANENT","3"
"od.angul","PERMANENT","107"
"od.pipli","PERMANENT","7"
"od.paralakhemundi","PERMANENT","26"
"od.athmallik","PERMANENT","23"
"od.berhampur","TEMPORARY","3"
"od.kashinagar","PERMANENT","11"
"od.talcher","PERMANENT","29"
"od.purushottampur","PERMANENT","3"
"od.nuapada","PERMANENT","4"
"od.titilagarh","PERMANENT","85"
"od.kuchinda","PERMANENT","25"
"od.chandbali","PERMANENT","7"
"od.sundargarh","PERMANENT","18"
"od.khariar","PERMANENT","5"
"od.pattamundai","PERMANENT","18"
"od.ganjam","PERMANENT","6"
"od.boudhgarh","PERMANENT","5"
"od.banpur","PERMANENT","10"
"od.nayagarh","PERMANENT","69"
"od.udala","PERMANENT","18"
"od.sonepur","PERMANENT","14"
"od.bhadrak","PERMANENT","5"
"od.birmitrapur","PERMANENT","10"
"od.cuttack","PERMANENT","145"
"od.deogarh","PERMANENT","19"
"od.balugaon","PERMANENT","32"
"od.choudwar","PERMANENT","7"
"od.gudayagiri","PERMANENT","2"
"od.champua","PERMANENT","20"
"od.tarbha","PERMANENT","15"
"od.gopalpur","PERMANENT","1"
"od.banki","PERMANENT","5"
"od.attabira","PERMANENT","6"
"od.padampur","PERMANENT","142"
"od.khordha","PERMANENT","85"
"od.sambalpur","PERMANENT","31"
"od.puri","PERMANENT","217"
"od.jajpur","PERMANENT","9"
"od.nimapara","PERMANENT","15"
"od.belpahar","PERMANENT","2"
"od.chatrapur","TEMPORARY","2"
"od.ranpur","PERMANENT","1"
"od.balliguda","PERMANENT","2"
"od.keonjhargarh","PERMANENT","60"
"od.polasara","PERMANENT","11"
